Menu Section | Menu Item | Description | Price
--- | --- | --- | ---
RICE | JASMINE RICE | - | £2.50
RICE | HAINAN RICE | - | £2.95
RICE | EGG FRIED RICE | - | £2.95
STARTERS | THAI PRAWN CRACKERS | Traditional spicy prawn crackers with sweet chilli sauce | £3.25
STARTERS | CHICKEN SATAY (N) | Marinated chicken on skewers served with peanut sauce, cucumber and onion garnish. | £6.50
STARTERS | VEGETABLE SPRING ROLLS (VE) | Fried spring rolls with vegetable filling, served with sweet chilli dip. | £5.50
STARTERS | XIAO LONG BAO PORK DUMPLINGS | Steamed soup-filled dumplings with minced pork and prawn wrapped in a light wheat pastry. Served with Chinese vinegar and ginger dip. | £6.00
STARTERS | THAI BARBEQUE SPARE RIBS | Marinated sweet, sticky and spicy ribs with Thai Nam Prik Pao and sweet chilli sauce. | £7.25
STARTERS | PRAWN & SCALLOP SIU MAI | Scallop dumpling with minced prawn and chicken, steamed in a light wheat pastry. | £6.50
STARTERS | DUCK SPRING ROLLS | Spring rolls with aromatic shredded duck filling and hoisin dip. | £6.75
STARTERS | CRISPY SQUID WITH SICHUAN PEPPERCORN | Lightly floured & fried crispy squid with Sichuan peppercorn, fried garlic, chilli & lime. | £7.50
STARTERS | PRAWN SESAME ROLLS | Deep fried prawn and bamboo shoot pastry rolls with sesame seeds. | £6.50
STARTERS | SALT & PEPPER TOFU (VE) | Chinese-style crispy tofu pieces with salt, pepper, chilli, spring onion & sweet chilli dip. | £6.25
STARTERS | PRAWN & MANGO SALAD | Prawn & mango slices tossed with a Thai spicy sour dressing. Also available as a main course | £7.50
SAUCES | SAMBAL / SAMBAL BELACHAN | - | £1.00
SAUCES | SATAY SAUCE (N) | - | £1.00
NOODLE SOUPS | CURRY LAKSA (SEAFOOD) | Choice of mussels, prawns, calamari, or shredded chicken & cucumber, tofu, egg & vermicelli noodles in a curry laksa soup made of coconut milk, mixed spices & herbs. | £13.25
NOODLE SOUPS | CURRY LAKSA (CHICKEN) | Choice of mussels, prawns, calamari, or shredded chicken & cucumber, tofu, egg & vermicelli noodles in a curry laksa soup made of coconut milk, mixed spices & herbs. | £12.50
NOODLE SOUPS | HONG KONG BEEF BRISKET NOODLE SOUP | Cantonese speciality of braised tender beef brisket, fine egg noodles, white radish and pak choi in a clear soup. | £12.50
TEA & COFFEE | GREEN TEA | - | £2.50
TEA & COFFEE | JASMINE TEA | - | £2.50
TEA & COFFEE | CHAI THAI LON | Thai style strong sweet white milk tea | £3.25
TEA & COFFEE | KAFFE THAI LON | Thai style strong white milk coffee | £3.25
JUICES | GREEN JUICE | Cleanses and detoxifies. Cucumber, apple, celery, and green peppers. | £4.25
JUICES | RED JUICE | Refreshing and a great source of vitamin C. Strawberries, oranges, raspberries and pineapple. | £4.25
JUICES | MANGO LASSI | crushed with natural yoghurt. | £4.25
JUICES | COCONUT WATER & LYCHEE JUICE | Rehydrating 100% natural coconut water, lychee fruit pieces & lime. | £4.60
JUICES | APPLE JUICE | - | £3.50
SOFT DRINKS | COKE | bottle 330ml | £2.95
SOFT DRINKS | DIET COKE | bottle 330ml | £2.95
SOFT DRINKS | SPRITE | bottle 330ml | £2.95
SOFT DRINKS | STILL MINERAL WATER | 330ml | £2.95
