Restaurant Name,Cuisine,Address,Website,Menu Section , Menu Item , Description , Price,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STARTERS , SPICY PRAWN CRACKERS , - , ¬£2.50,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STARTERS , PO PIA TORO , Crispy spring rolls filled with mixed vegetables,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STARTERS , TAO HOO TORD , Crispy tofu served with peanut sauce , ¬£5.50,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STARTERS , PO PAK KOM , Crispy spring rolls filled with spinach,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STARTERS , TORD MUN KAO PORD , Mild spicy corn cakes mixed with red curry flour,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STARTERS , GOONG TORD , Deep fried prawns In light batter with sweet chilli sauce dip , ¬£6.95,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STARTERS , PIA MFUK TORD , Deep fried squid in light batter with sweet chilli sauce dip , ¬£6.95,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STARTERS , TORO MUN PLA , Spicy fishcake mixed of fish & prawns,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STARTERS , GOONG SABAI , Marinated king prawns with garlic and soy wrapped crispy pastry , ¬£6.45,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STARTERS , SATAY GAI , Grilled marinated chicken on skewers serve with peanut sauce , ¬£6.45,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STARTERS , GIEW GROB , Crispy chicken wontons served with sweet chilli sauce , ¬£5.95,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STARTERS , SESAME TOAST , Minced chicken sesame toasts serve with sweet chilli sauce , ¬£5.95,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STARTERS , KANOM WEB , Steamed dumpling mixed of chicken & prawns,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STARTERS , DUCK SPRING ROLLS , Crispy spring rolls filled with aromatic duck,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STARTERS , THE MIXED PLATER (For 2) , A selection of; Veg spring rolls,, chicken sesame toast and Thai fishcake | ¬£14.95,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STARTERS , AROMATIC DUCK Quarter , Crispy aromatic duck served with pancakes,, and hoi sin sauce | ¬£11.50,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STARTERS , AROMATIC DUCK Half , Crispy aromatic duck served with pancakes,, and hoi sin sauce | ¬£19.50,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,SOUP , TOM YUM (Chicken) , Traditional Thai hot and sour soup with lemongrass and mushroom , ¬£6.50,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,SOUP , TOM YUM (Prawn) , Traditional Thai hot and sour soup with lemongrass and mushroom , ¬£6.95,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,SOUP , TOM YUM (Mushroom) , Traditional Thai hot and sour soup with lemongrass and mushroom , ¬£5.59,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,SOUP , TOM KHA Mild (Chicken) , Mild coconut milk soup with galangal,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,SOUP , TOM KHA Mild (Prawn) , Mild coconut milk soup with galangal,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,SOUP , TOM KHA Mild (Mushroom) , Mild coconut milk soup with galangal,,,
